"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-PlayerFNameComparatorFirstLetter-record1Value","0-PlayerFNameComparatorFirstLetter-record2Value","0-PlayerFNameComparatorFirstLetter-record1PreprocessedValue","0-PlayerFNameComparatorFirstLetter-record2PreprocessedValue","0-PlayerFNameComparatorFirstLetter-similarity","0-PlayerFNameComparatorFirstLetter-postproccesedSimilarity","1-PlayerFNameComparatorJaccard-record1Value","1-PlayerFNameComparatorJaccard-record2Value","1-PlayerFNameComparatorJaccard-record1PreprocessedValue","1-PlayerFNameComparatorJaccard-record2PreprocessedValue","1-PlayerFNameComparatorJaccard-similarity","1-PlayerFNameComparatorJaccard-postproccesedSimilarity","2-PlayerLNameComparatorJaccard-record1Value","2-PlayerLNameComparatorJaccard-record2Value","2-PlayerLNameComparatorJaccard-record1PreprocessedValue","2-PlayerLNameComparatorJaccard-record2PreprocessedValue","2-PlayerLNameComparatorJaccard-similarity","2-PlayerLNameComparatorJaccard-postproccesedSimilarity","3-PlayerLNameComparatorLevenshtein-record1Value","3-PlayerLNameComparatorLevenshtein-record2Value","3-PlayerLNameComparatorLevenshtein-record1PreprocessedValue","3-PlayerLNameComparatorLevenshtein-record2PreprocessedValue","3-PlayerLNameComparatorLevenshtein-similarity","3-PlayerLNameComparatorLevenshtein-postproccesedSimilarity","4-PlayerNationaltyComparatorEqual-record1Value","4-PlayerNationaltyComparatorEqual-record2Value","4-PlayerNationaltyComparatorEqual-record1PreprocessedValue","4-PlayerNationaltyComparatorEqual-record2PreprocessedValue","4-PlayerNationaltyComparatorEqual-similarity","4-PlayerNationaltyComparatorEqual-postproccesedSimilarity"
"WekaMatchingRule","PlayerComplete_6805","newplayerTeamData_1267","0.7865658056643267",,"c.","suele","c.","suele","0.0","0.0","c.","suele","c.","suele","0.0","0.0","kum","niklas","kum","niklas","0.0","0.0","kum","niklas","kum","niklas","0.16666666666666663","0.16666666666666663","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_14722","newplayerTeamData_1565","0.7865658056643267",,"h.","abdullah","h.","abdullah","0.0","0.0","h.","abdullah","h.","abdullah","0.0","0.0","al shuwaysh","otayf","al shuwaysh","otayf","0.0","0.0","al shuwaysh","otayf","al shuwaysh","otayf","0.18181818181818177","0.18181818181818177","Saudi Arabia","Saudi Arabia","Saudi Arabia","Saudi Arabia","1.0","1.0"
"WekaMatchingRule","PlayerComplete_16221","newplayerTeamData_1098","0.7865658056643267",,"h.","bacca","h.","bacca","0.0","0.0","h.","bacca","h.","bacca","0.0","0.0","suárez","carlos","suárez","carlos","0.0","0.0","suárez","carlos","suárez","carlos","0.0","0.0","Colombia","Colombia","Colombia","Colombia","1.0","1.0"
"WekaMatchingRule","PlayerComplete_16221","newplayerTeamData_1099","0.7865658056643267",,"h.","aguilar","h.","aguilar","0.0","0.0","h.","aguilar","h.","aguilar","0.0","0.0","suárez","abel","suárez","abel","0.0","0.0","suárez","abel","suárez","abel","0.16666666666666663","0.16666666666666663","Colombia","Colombia","Colombia","Colombia","1.0","1.0"
"WekaMatchingRule","PlayerComplete_17916","newplayerTeamData_1247","0.7865658056643267",,"m.","fekir","m.","fekir","0.0","0.0","m.","fekir","m.","fekir","0.0","0.0","nanizayamo","nabil","nanizayamo","nabil","0.0","0.0","nanizayamo","nabil","nanizayamo","nabil","0.30000000000000004","0.30000000000000004","France","France","France","France","1.0","1.0"
"WekaMatchingRule","PlayerComplete_17916","newplayerTeamData_1246","0.7865658056643267",,"m.","rami","m.","rami","0.0","0.0","m.","rami","m.","rami","0.0","0.0","nanizayamo","adil","nanizayamo","adil","0.0","0.0","nanizayamo","adil","nanizayamo","adil","0.19999999999999996","0.19999999999999996","France","France","France","France","1.0","1.0"
"WekaMatchingRule","PlayerComplete_11027","newplayerTeamData_1371",,,"r.","marquez","r.","marquez","0.0","0.0","r.","marquez","r.","marquez","0.0","0.0","marquez","rafael","marquez","rafael","0.0","0.0","marquez","rafael","marquez","rafael","0.2857142857142857","0.2857142857142857","United States","Mexico","United States","Mexico","0.0","0.0"
"WekaMatchingRule","PlayerComplete_14722","newplayerTeamData_1564","0.7865658056643267",,"h.","yasir","h.","yasir","0.0","0.0","h.","yasir","h.","yasir","0.0","0.0","al shuwaysh","alshahrani","al shuwaysh","alshahrani","0.0","0.0","al shuwaysh","alshahrani","al shuwaysh","alshahrani","0.36363636363636365","0.36363636363636365","Saudi Arabia","Saudi Arabia","Saudi Arabia","Saudi Arabia","1.0","1.0"
"WekaMatchingRule","PlayerComplete_11410","newplayerTeamData_1263","0.7865658056643267",,"m.","reus","m.","reus","0.0","0.0","m.","reus","m.","reus","0.0","0.0","mehlem","marco","mehlem","marco","0.0","0.0","mehlem","marco","mehlem","marco","0.16666666666666663","0.16666666666666663","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_15968","newplayerTeamData_1254","0.7865658056643267",,"r.","plattenhardt","r.","plattenhardt","0.0","0.0","r.","plattenhardt","r.","plattenhardt","0.0","0.0","husić","marvin","husić","marvin","0.0","0.0","husić","marvin","husić","marvin","0.16666666666666663","0.16666666666666663","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_15968","newplayerTeamData_1255","0.7865658056643267",,"r.","hector","r.","hector","0.0","0.0","r.","hector","r.","hector","0.0","0.0","husić","jonas","husić","jonas","0.0","0.0","husić","jonas","husić","jonas","0.0","0.0","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_11410","newplayerTeamData_1262","0.7865658056643267",,"m.","oezil","m.","oezil","0.0","0.0","m.","oezil","m.","oezil","0.0","0.0","mehlem","mesut","mehlem","mesut","0.0","0.0","mehlem","mesut","mehlem","mesut","0.33333333333333337","0.33333333333333337","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_15378","newplayerTeamData_1639","0.7865658056643267",,"javi","costa","javi","costa","0.0","0.0","javi","costa","javi","costa","0.0","0.0","pérez","diego","pérez","diego","0.0","0.0","pérez","diego","pérez","diego","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0"
"WekaMatchingRule","PlayerComplete_3816","newplayerTeamData_1506","0.7865658056643267",,"orlando","rui","orlando","rui","0.0","0.0","orlando","rui","orlando","rui","0.0","0.0","sá","patricio","sá","patricio","0.0","0.0","sá","patricio","sá","patricio","0.0","0.0","Portugal","Portugal","Portugal","Portugal","1.0","1.0"
"WekaMatchingRule","PlayerComplete_17775","newplayerTeamData_1213","0.7865658056643267",,"j.","lingard","j.","lingard","0.0","0.0","j.","lingard","j.","lingard","0.0","0.0","osborne","jesse","osborne","jesse","0.0","0.0","osborne","jesse","osborne","jesse","0.1428571428571429","0.1428571428571429","England","England","England","England","1.0","1.0"
"WekaMatchingRule","PlayerComplete_15378","newplayerTeamData_1638","0.7865658056643267",,"javi","alba","javi","alba","0.0","0.0","javi","alba","javi","alba","0.0","0.0","pérez","jordi","pérez","jordi","0.0","0.0","pérez","jordi","pérez","jordi","0.19999999999999996","0.19999999999999996","Spain","Spain","Spain","Spain","1.0","1.0"
"WekaMatchingRule","PlayerComplete_17775","newplayerTeamData_1212","0.7865658056643267",,"j.","maguire","j.","maguire","0.0","0.0","j.","maguire","j.","maguire","0.0","0.0","osborne","harry","osborne","harry","0.0","0.0","osborne","harry","osborne","harry","0.1428571428571429","0.1428571428571429","England","England","England","England","1.0","1.0"
"WekaMatchingRule","PlayerComplete_18594","newplayerTeamData_1241","0.7865658056643267",,"d.","tolisso","d.","tolisso","0.0","0.0","d.","tolisso","d.","tolisso","0.0","0.0","dumont","corentin","dumont","corentin","0.0","0.0","dumont","corentin","dumont","corentin","0.25","0.25","France","France","France","France","1.0","1.0"
"WekaMatchingRule","PlayerComplete_16614","newplayerTeamData_1494","0.7865658056643267",,"m.","bialkowski","m.","bialkowski","0.0","0.0","m.","bialkowski","m.","bialkowski","0.0","0.0","stryjek","bartosz","stryjek","bartosz","0.0","0.0","stryjek","bartosz","stryjek","bartosz","0.1428571428571429","0.1428571428571429","Poland","Poland","Poland","Poland","1.0","1.0"
"WekaMatchingRule","PlayerComplete_10799","newplayerTeamData_1694","0.7865658056643267",,"o.","haddadi","o.","haddadi","0.0","0.0","o.","haddadi","o.","haddadi","0.0","0.0","haddadi","oussama","haddadi","oussama","0.0","0.0","haddadi","oussama","haddadi","oussama","0.1428571428571429","0.1428571428571429","Tunisia","Tunisia","Tunisia","Tunisia","1.0","1.0"
"WekaMatchingRule","PlayerComplete_18594","newplayerTeamData_1240","0.7865658056643267",,"d.","dembele","d.","dembele","0.0","0.0","d.","dembele","d.","dembele","0.0","0.0","dumont","ousmane","dumont","ousmane","0.0","0.0","dumont","ousmane","dumont","ousmane","0.4285714285714286","0.4285714285714286","France","France","France","France","1.0","1.0"
"WekaMatchingRule","PlayerComplete_6833","newplayerTeamData_1160","0.7865658056643267",,"p.","subasic","p.","subasic","0.0","0.0","p.","subasic","p.","subasic","0.0","0.0","filipović","danijel","filipović","danijel","0.0","0.0","filipović","danijel","filipović","danijel","0.11111111111111116","0.11111111111111116","Croatia","Croatia","Croatia","Croatia","1.0","1.0"
"WekaMatchingRule","PlayerComplete_16614","newplayerTeamData_1495","0.7865658056643267",,"m.","rybus","m.","rybus","0.0","0.0","m.","rybus","m.","rybus","0.0","0.0","stryjek","maciej","stryjek","maciej","0.0","0.0","stryjek","maciej","stryjek","maciej","0.1428571428571429","0.1428571428571429","Poland","Poland","Poland","Poland","1.0","1.0"
"WekaMatchingRule","PlayerComplete_14468","newplayerTeamData_1524","0.7865658056643267",,"","mario","","mario","0.0","0.0","","mario","","mario","0.0","0.0","","rui","","rui","0.0","0.0","","rui","","rui","0.0","0.0","Portugal","Portugal","Portugal","Portugal","1.0","1.0"
"WekaMatchingRule","PlayerComplete_14468","newplayerTeamData_1525","0.7865658056643267",,"","ricardo","","ricardo","0.0","0.0","","ricardo","","ricardo","0.0","0.0","","quaresma","","quaresma","0.0","0.0","","quaresma","","quaresma","0.0","0.0","Portugal","Portugal","Portugal","Portugal","1.0","1.0"
"WekaMatchingRule","PlayerComplete_2661","newplayerTeamData_1634","0.7865658056643267",,"jota","azpilicueta","jota","azpilicueta","0.0","0.0","jota","azpilicueta","jota","azpilicueta","0.0","0.0","peleteiro","cesar","peleteiro","cesar","0.0","0.0","peleteiro","cesar","peleteiro","cesar","0.2222222222222222","0.2222222222222222","Spain","Spain","Spain","Spain","1.0","1.0"
"WekaMatchingRule","PlayerComplete_2207","newplayerTeamData_1078","0.7865658056643267",,"","","","","1.0","1.0","","","","","0.0","0.0","","","","","0.0","0.0","","","","","NaN","NaN","Brazil","Brazil","Brazil","Brazil","1.0","1.0"
"WekaMatchingRule","PlayerComplete_2207","newplayerTeamData_1079","0.7865658056643267",,"","philippe","","philippe","0.0","0.0","","philippe","","philippe","0.0","0.0","","coutinho","","coutinho","0.0","0.0","","coutinho","","coutinho","0.0","0.0","Brazil","Brazil","Brazil","Brazil","1.0","1.0"
"WekaMatchingRule","PlayerComplete_13886","newplayerTeamData_1381","0.7865658056643267",,"b.","hernandez","b.","hernandez","0.0","0.0","b.","hernandez","b.","hernandez","0.0","0.0","rubio","javier","rubio","javier","0.0","0.0","rubio","javier","rubio","javier","0.16666666666666663","0.16666666666666663","Mexico","Mexico","Mexico","Mexico","1.0","1.0"
"WekaMatchingRule","PlayerComplete_12005","newplayerTeamData_1162","0.7865658056643267",,"m.","krohn-dehli","m.","krohn-dehli","0.0","0.0","m.","krohn-dehli","m.","krohn-dehli","0.0","0.0","lund nielsen","michael","lund nielsen","michael","0.0","0.0","lund nielsen","michael","lund nielsen","michael","0.16666666666666663","0.16666666666666663","Denmark","Denmark","Denmark","Denmark","1.0","1.0"
"WekaMatchingRule","PlayerComplete_12005","newplayerTeamData_1163","0.7865658056643267",,"m.","vestergaard","m.","vestergaard","0.0","0.0","m.","vestergaard","m.","vestergaard","0.0","0.0","lund nielsen","jannik","lund nielsen","jannik","0.0","0.0","lund nielsen","jannik","lund nielsen","jannik","0.25","0.25","Denmark","Denmark","Denmark","Denmark","1.0","1.0"
"WekaMatchingRule","PlayerComplete_8731","newplayerTeamData_1332","0.7865658056643267",,"s.","usami","s.","usami","0.0","0.0","s.","usami","s.","usami","0.0","0.0","taniguchi","takashi","taniguchi","takashi","0.0","0.0","taniguchi","takashi","taniguchi","takashi","0.4444444444444444","0.4444444444444444","Japan","Japan","Japan","Japan","1.0","1.0"
"WekaMatchingRule","PlayerComplete_5649","newplayerTeamData_1382","0.7865658056643267",,"r.","moreno","r.","moreno","0.0","0.0","r.","moreno","r.","moreno","0.0","0.0","lópez","hector","lópez","hector","0.0","0.0","lópez","hector","lópez","hector","0.0","0.0","Mexico","Mexico","Mexico","Mexico","1.0","1.0"
"WekaMatchingRule","PlayerComplete_18196","newplayerTeamData_1550","0.7865658056643267",,"a.","dzyuba","a.","dzyuba","0.0","0.0","a.","dzyuba","a.","dzyuba","0.0","0.0","golovatyuk","artem","golovatyuk","artem","0.0","0.0","golovatyuk","artem","golovatyuk","artem","0.09999999999999998","0.09999999999999998","Russia","Russia","Russia","Russia","1.0","1.0"
"WekaMatchingRule","PlayerComplete_8731","newplayerTeamData_1333","0.7865658056643267",,"s.","higashiguchi","s.","higashiguchi","0.0","0.0","s.","higashiguchi","s.","higashiguchi","0.0","0.0","taniguchi","masaaki","taniguchi","masaaki","0.0","0.0","taniguchi","masaaki","taniguchi","masaaki","0.2222222222222222","0.2222222222222222","Japan","Japan","Japan","Japan","1.0","1.0"
"WekaMatchingRule","PlayerComplete_12232","newplayerTeamData_1013","0.7865658056643267",,"d.","mascherano","d.","mascherano","0.0","0.0","d.","mascherano","d.","mascherano","0.0","0.0","schmidt","javier","schmidt","javier","0.0","0.0","schmidt","javier","schmidt","javier","0.1428571428571429","0.1428571428571429","Argentina","Argentina","Argentina","Argentina","1.0","1.0"
