"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-PlayerLNameComparatorJaccard-record1Value","0-PlayerLNameComparatorJaccard-record2Value","0-PlayerLNameComparatorJaccard-record1PreprocessedValue","0-PlayerLNameComparatorJaccard-record2PreprocessedValue","0-PlayerLNameComparatorJaccard-similarity","0-PlayerLNameComparatorJaccard-postproccesedSimilarity","1-PlayerFNameComparatorJaccard-record1Value","1-PlayerFNameComparatorJaccard-record2Value","1-PlayerFNameComparatorJaccard-record1PreprocessedValue","1-PlayerFNameComparatorJaccard-record2PreprocessedValue","1-PlayerFNameComparatorJaccard-similarity","1-PlayerFNameComparatorJaccard-postproccesedSimilarity"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1407","0.0",,"achraf","nabil","achraf","nabil","0.0","0.0","hakimi","dirar","hakimi","dirar","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1408","0.0",,"achraf","amine","achraf","amine","0.0","0.0","hakimi","harit","hakimi","harit","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1409","0.0",,"achraf","nesyri youssef","achraf","nesyri youssef","0.0","0.0","hakimi","en","hakimi","en","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1403","0.0",,"achraf","khalid","achraf","khalid","0.0","0.0","hakimi","boutaib","hakimi","boutaib","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1404","0.0",,"achraf","mbark","achraf","mbark","0.0","0.0","hakimi","boussoufa","hakimi","boussoufa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1405","0.0",,"achraf","bennasser youssef","achraf","bennasser youssef","0.0","0.0","hakimi","ait","hakimi","ait","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1429","0.0",,"mbark","daniel","mbark","daniel","0.0","0.0","boussoufa","akpeyi","boussoufa","akpeyi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1406","0.0",,"achraf","noureddine","achraf","noureddine","0.0","0.0","hakimi","amrabat","hakimi","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1416","0.0",,"mbark","elderson","mbark","elderson","0.0","0.0","boussoufa","echiejile","boussoufa","echiejile","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1417","0.0",,"mbark","onyinye","mbark","onyinye","0.0","0.0","boussoufa","ndidi","boussoufa","ndidi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1414","0.0",,"mbark","ikechukwu","mbark","ikechukwu","0.0","0.0","boussoufa","ezenwa","boussoufa","ezenwa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1415","0.0",,"mbark","bryan","mbark","bryan","0.0","0.0","boussoufa","idowu","boussoufa","idowu","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1412","0.0",,"mbark","ahmed","mbark","ahmed","0.0","0.0","boussoufa","tagnaouti","boussoufa","tagnaouti","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1413","0.0",,"mbark","mehdi","mbark","mehdi","0.0","0.0","boussoufa","carcela","boussoufa","carcela","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1410","0.0",,"mbark","aziz","mbark","aziz","0.0","0.0","boussoufa","bouhaddouz","boussoufa","bouhaddouz","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1411","0.0",,"mbark","sofyan","mbark","sofyan","0.0","0.0","boussoufa","amrabat","boussoufa","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1388","newplayerTeamData_1418","0.0",,"edson","william","edson","william","0.0","0.0","alvarez","ekong","alvarez","ekong","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1388","newplayerTeamData_1417","0.0",,"edson","onyinye","edson","onyinye","0.0","0.0","alvarez","ndidi","alvarez","ndidi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1388","newplayerTeamData_1419","0.0",,"edson","leon","edson","leon","0.0","0.0","alvarez","balogun","alvarez","balogun","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1388","newplayerTeamData_1414","0.0",,"edson","ikechukwu","edson","ikechukwu","0.0","0.0","alvarez","ezenwa","alvarez","ezenwa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1388","newplayerTeamData_1413","0.0",,"edson","mehdi","edson","mehdi","0.0","0.0","alvarez","carcela","alvarez","carcela","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1388","newplayerTeamData_1416","0.0",,"edson","elderson","edson","elderson","0.0","0.0","alvarez","echiejile","alvarez","echiejile","0.0","0.0"
